AuthorID,PublicationID,Title,Genre,PublicationYear,Price
38,17,BookNum1,Comic,1993,143
4,13,BookNum2,Fiction,1880,188
22,18,BookNum3,Historical,1868,44
45,5,BookNum4,Fiction,1957,1344
11,7,BookNum5,Horror,1970,836
5,15,BookNum6,Children,1860,1841
1,16,BookNum7,Western,1880,767
50,15,BookNum8,Historical,1898,1144
30,13,BookNum9,Horror,1817,999
17,12,BookNum10,Horror,1856,283
19,3,BookNum11,Comic,1980,1998
19,9,BookNum12,Children,1828,1087
49,15,BookNum13,Horror,1945,1480
27,6,BookNum14,Thriller,1834,1868
24,18,BookNum15,Comic,1934,1342
50,5,BookNum16,Western,1903,662
10,9,BookNum17,Horror,1915,933
45,14,BookNum18,Historical,1810,661
20,15,BookNum19,Western,2002,207
18,3,BookNum20,Horror,1974,1425
31,12,BookNum21,Horror,1848,768
37,3,BookNum22,Historical,1815,1663
7,1,BookNum23,Mystery,1909,641
15,7,BookNum24,Comic,2011,138
5,17,BookNum25,Mystery,1975,1132
11,10,BookNum26,Historical,2013,1500
16,15,BookNum27,Comic,1839,40
19,1,BookNum28,Fiction,1989,1900
18,11,BookNum29,Historical,1957,844
1,6,BookNum30,Comic,1964,475
5,16,BookNum31,Thriller,1810,1839
19,12,BookNum32,Historical,2010,1264
38,8,BookNum33,Mystery,2017,1050
2,20,BookNum34,Thriller,1912,729
25,3,BookNum35,Horror,2010,47
24,4,BookNum36,Children,1817,564
17,18,BookNum37,Historical,1927,1111
45,14,BookNum38,Western,1860,676
15,19,BookNum39,Historical,1868,380
32,19,BookNum40,Fiction,1947,1514
42,15,BookNum41,Western,1996,695
42,10,BookNum42,Historical,1936,156
44,1,BookNum43,Western,1909,398
9,10,BookNum44,Horror,1924,86
22,4,BookNum45,Mystery,1968,1893
17,10,BookNum46,Western,1955,365
18,11,BookNum47,Thriller,1913,1652
8,6,BookNum48,Fiction,1851,987
28,19,BookNum49,Horror,2012,217
46,12,BookNum50,Mystery,1884,1265
42,1,BookNum51,Fiction,1823,1236
46,3,BookNum52,Thriller,1802,137
28,11,BookNum53,Horror,1840,1183
16,7,BookNum54,Horror,1862,797
12,5,BookNum55,Children,2019,229
23,16,BookNum56,Western,1889,1530
6,3,BookNum57,Fiction,1857,1620
21,1,BookNum58,Children,1824,1018
38,18,BookNum59,Mystery,1882,1990
45,6,BookNum60,Horror,1931,1282
50,3,BookNum61,Western,1802,1979
10,7,BookNum62,Mystery,1840,1714
29,1,BookNum63,Historical,2012,857
7,6,BookNum64,Fiction,1853,700
23,1,BookNum65,Historical,1870,1558
1,20,BookNum66,Comic,1951,1976
17,17,BookNum67,Historical,1878,832
13,3,BookNum68,Horror,1836,1532
25,11,BookNum69,Horror,1826,882
23,6,BookNum70,Western,1849,1889
23,14,BookNum71,Mystery,1907,913
46,9,BookNum72,Horror,1971,1183
16,14,BookNum73,Mystery,1960,724
49,12,BookNum74,Comic,1813,1770
21,7,BookNum75,Children,1918,1937
23,8,BookNum76,Fiction,1935,1756
25,1,BookNum77,Thriller,1948,1653
2,14,BookNum78,Children,1860,150
28,20,BookNum79,Horror,1970,1179
1,1,BookNum80,Horror,1805,1046
3,19,BookNum81,Comic,1966,1303
36,8,BookNum82,Horror,1946,1003
21,8,BookNum83,Historical,1900,1037
42,1,BookNum84,Fiction,1886,1733
34,6,BookNum85,Horror,1907,330
22,7,BookNum86,Horror,1987,259
3,14,BookNum87,Horror,1855,496
40,3,BookNum88,Comic,2017,1922
9,20,BookNum89,Thriller,2003,1179
39,13,BookNum90,Mystery,1951,417
45,19,BookNum91,Thriller,1805,1994
50,11,BookNum92,Thriller,1977,1126
33,18,BookNum93,Comic,1829,810
40,3,BookNum94,Historical,1952,731
50,6,BookNum95,Historical,1938,1586
4,14,BookNum96,Comic,1909,678
3,10,BookNum97,Horror,2015,950
33,19,BookNum98,Children,1823,1404
43,13,BookNum99,Western,1934,857
24,3,BookNum100,Horror,1854,638
41,12,BookNum101,Fiction,1981,559
34,7,BookNum102,Thriller,1994,1400
47,14,BookNum103,Comic,1963,962
30,19,BookNum104,Children,2000,1626
1,4,BookNum105,Fiction,1921,1104
39,10,BookNum106,Historical,1833,1178
5,18,BookNum107,Mystery,1871,1742
36,19,BookNum108,Horror,1997,1187
9,2,BookNum109,Horror,1836,1585
43,2,BookNum110,Thriller,1909,1569
41,7,BookNum111,Historical,1941,1125
5,3,BookNum112,Mystery,1919,531
36,17,BookNum113,Historical,1827,1834
33,4,BookNum114,Children,1905,815
6,15,BookNum115,Children,1967,1472
37,15,BookNum116,Historical,1839,1100
9,7,BookNum117,Thriller,1910,802
48,14,BookNum118,Historical,1863,379
22,4,BookNum119,Fiction,1857,282
8,8,BookNum120,Thriller,1906,1362
35,11,BookNum121,Fiction,1913,952
32,9,BookNum122,Horror,1946,1560
42,17,BookNum123,Comic,1910,1572
11,15,BookNum124,Western,2012,88
12,16,BookNum125,Fiction,2015,973
18,13,BookNum126,Mystery,1881,808
1,7,BookNum127,Comic,1865,489
30,6,BookNum128,Fiction,1937,541
30,19,BookNum129,Horror,1945,675
14,13,BookNum130,Mystery,1952,1637
15,18,BookNum131,Comic,1858,287
49,14,BookNum132,Comic,1814,598
37,14,BookNum133,Thriller,1808,153
13,1,BookNum134,Mystery,1980,1839
39,19,BookNum135,Historical,1931,264
2,13,BookNum136,Horror,1822,309
12,15,BookNum137,Children,1970,1685
33,12,BookNum138,Children,1812,1217
24,16,BookNum139,Children,1829,1682
37,6,BookNum140,Mystery,2011,888
9,10,BookNum141,Children,1843,983
17,2,BookNum142,Horror,1992,1030
24,5,BookNum143,Fiction,1851,1502
50,8,BookNum144,Comic,1999,1500
4,14,BookNum145,Fiction,1807,578
34,14,BookNum146,Mystery,1965,1929
44,19,BookNum147,Children,1832,110
14,9,BookNum148,Fiction,1858,419
49,1,BookNum149,Thriller,1873,1777
3,8,BookNum150,Mystery,1913,171
10,8,BookNum151,Fiction,1984,999
34,6,BookNum152,Comic,1820,1300
5,9,BookNum153,Fiction,1862,669
48,16,BookNum154,Western,1805,29
16,5,BookNum155,Western,1984,265
21,6,BookNum156,Thriller,1898,929
20,12,BookNum157,Comic,1871,1266
49,5,BookNum158,Western,1865,1241
32,14,BookNum159,Children,1851,130
14,4,BookNum160,Historical,1832,1470
5,4,BookNum161,Comic,1848,797
43,15,BookNum162,Fiction,1926,650
49,18,BookNum163,Thriller,1829,1405
15,18,BookNum164,Fiction,1866,748
38,16,BookNum165,Horror,1974,950
32,15,BookNum166,Thriller,1825,479
46,13,BookNum167,Mystery,1837,1822
39,2,BookNum168,Mystery,1838,1008
35,4,BookNum169,Children,2012,1198
37,2,BookNum170,Thriller,1942,1835
30,7,BookNum171,Mystery,1922,24
20,17,BookNum172,Children,1901,1809
26,10,BookNum173,Mystery,1964,1614
31,19,BookNum174,Historical,1836,609
47,16,BookNum175,Mystery,1834,101
13,14,BookNum176,Horror,1977,1679
1,9,BookNum177,Thriller,1832,1974
46,17,BookNum178,Mystery,1814,1449
43,14,BookNum179,Fiction,1997,1722
48,2,BookNum180,Historical,1968,548
15,15,BookNum181,Fiction,1840,1095
31,19,BookNum182,Historical,1897,1001
18,8,BookNum183,Thriller,1845,1282
50,15,BookNum184,Comic,2018,24
12,5,BookNum185,Horror,1824,1573
20,13,BookNum186,Western,1862,574
46,10,BookNum187,Historical,1865,985
48,4,BookNum188,Horror,1995,120
18,7,BookNum189,Western,1917,916
14,18,BookNum190,Mystery,2004,1349
43,4,BookNum191,Historical,1924,434
28,6,BookNum192,Historical,1943,1625
15,13,BookNum193,Thriller,1862,1315
12,15,BookNum194,Historical,1811,961
5,18,BookNum195,Western,1806,1247
4,7,BookNum196,Horror,1958,208
44,18,BookNum197,Fiction,1838,499
23,7,BookNum198,Horror,1849,1150
6,14,BookNum199,Western,1980,521
50,15,BookNum200,Children,1980,1394
4,18,BookNum201,Comic,1846,1985
11,6,BookNum202,Fiction,1829,109
37,13,BookNum203,Western,1900,1982
3,19,BookNum204,Western,1952,237
13,8,BookNum205,Thriller,1974,1549
32,10,BookNum206,Children,1999,310
37,5,BookNum207,Comic,1895,684
12,7,BookNum208,Horror,1845,849
30,9,BookNum209,Comic,1961,232
38,14,BookNum210,Historical,1941,1894
33,15,BookNum211,Fiction,1986,1764
37,12,BookNum212,Historical,1954,1586
34,3,BookNum213,Children,2001,826
22,17,BookNum214,Thriller,1963,34
49,9,BookNum215,Horror,1945,1648
2,1,BookNum216,Fiction,1829,1839
46,12,BookNum217,Thriller,2001,978
16,7,BookNum218,Thriller,1992,1433
5,15,BookNum219,Western,1987,398
15,19,BookNum220,Historical,1929,725
7,2,BookNum221,Children,1907,1478
49,2,BookNum222,Comic,1808,186
23,2,BookNum223,Mystery,1933,1379
31,10,BookNum224,Horror,1884,648
16,15,BookNum225,Historical,1823,121
18,8,BookNum226,Fiction,1936,757
37,14,BookNum227,Fiction,1960,495
3,2,BookNum228,Thriller,1975,436
6,19,BookNum229,Comic,1993,1420
49,11,BookNum230,Horror,1966,1853
32,2,BookNum231,Western,1826,1953
3,2,BookNum232,Fiction,1971,635
41,18,BookNum233,Western,1896,775
29,20,BookNum234,Horror,1998,352
27,17,BookNum235,Horror,1873,949
6,14,BookNum236,Historical,1971,1718
47,5,BookNum237,Horror,1948,960
22,17,BookNum238,Western,1851,841
18,13,BookNum239,Fiction,1848,516
20,9,BookNum240,Western,1800,1897
3,4,BookNum241,Horror,2012,1768
28,17,BookNum242,Fiction,1925,203
45,10,BookNum243,Thriller,1902,846
21,19,BookNum244,Western,2009,1942
40,9,BookNum245,Horror,1921,204
16,15,BookNum246,Horror,1952,1085
50,8,BookNum247,Horror,1991,1935
41,6,BookNum248,Historical,1955,1953
18,5,BookNum249,Historical,1889,1723
39,1,BookNum250,Comic,1871,637
17,7,BookNum251,Mystery,1980,276
21,9,BookNum252,Children,1923,1540
36,14,BookNum253,Fiction,1896,1028
40,7,BookNum254,Horror,1885,1391
37,11,BookNum255,Fiction,1944,1091
14,2,BookNum256,Western,1883,476
41,20,BookNum257,Comic,2012,396
13,10,BookNum258,Mystery,1854,671
3,16,BookNum259,Historical,1933,828
18,19,BookNum260,Western,1948,23
37,7,BookNum261,Historical,1959,301
25,5,BookNum262,Historical,1825,1473
27,9,BookNum263,Fiction,1951,1129
43,11,BookNum264,Horror,1826,1646
25,1,BookNum265,Thriller,1840,1896
25,3,BookNum266,Historical,1895,1383
48,10,BookNum267,Historical,1861,577
22,11,BookNum268,Horror,1807,1904
17,2,BookNum269,Comic,1947,908
2,4,BookNum270,Horror,1932,1866
23,18,BookNum271,Horror,1888,1755
23,19,BookNum272,Historical,1962,987
40,5,BookNum273,Children,1880,684
22,16,BookNum274,Thriller,1808,857
3,16,BookNum275,Western,1906,1891
26,4,BookNum276,Western,1988,1706
36,19,BookNum277,Children,2017,868
29,10,BookNum278,Mystery,1901,829
23,17,BookNum279,Fiction,1889,304
2,12,BookNum280,Thriller,1828,323
39,20,BookNum281,Comic,1887,683
50,8,BookNum282,Thriller,1851,895
8,7,BookNum283,Thriller,1955,52
23,13,BookNum284,Western,2021,593
45,4,BookNum285,Thriller,2002,979
34,16,BookNum286,Mystery,1809,943
23,18,BookNum287,Comic,1997,1948
12,5,BookNum288,Fiction,1961,1676
19,9,BookNum289,Historical,1933,853
48,20,BookNum290,Western,2007,1459
32,19,BookNum291,Fiction,2010,653
30,15,BookNum292,Children,1948,259
10,13,BookNum293,Historical,1808,1185
11,2,BookNum294,Historical,1894,126
26,6,BookNum295,Horror,1946,703
37,9,BookNum296,Historical,1984,224
39,15,BookNum297,Historical,1944,172
6,20,BookNum298,Fiction,1804,763
39,17,BookNum299,Comic,1893,454
37,2,BookNum300,Historical,1949,1999
16,9,BookNum301,Historical,1804,813
22,3,BookNum302,Historical,1973,932
42,19,BookNum303,Fiction,1804,711
22,16,BookNum304,Historical,1800,1548
39,8,BookNum305,Western,1904,611
40,15,BookNum306,Mystery,1961,1458
41,19,BookNum307,Western,1866,1846
22,8,BookNum308,Horror,1852,326
33,8,BookNum309,Fiction,1827,971
24,8,BookNum310,Historical,1833,1959
1,17,BookNum311,Comic,1872,1159
34,15,BookNum312,Horror,1983,559
27,14,BookNum313,Comic,1867,543
22,13,BookNum314,Comic,1850,810
4,18,BookNum315,Mystery,1935,1357
17,20,BookNum316,Fiction,1959,1687
43,3,BookNum317,Horror,1895,449
37,10,BookNum318,Horror,1856,695
10,1,BookNum319,Western,1839,1437
46,13,BookNum320,Thriller,1954,1513
2,3,BookNum321,Thriller,1868,129
4,1,BookNum322,Thriller,2020,140
36,4,BookNum323,Fiction,2019,1827
31,5,BookNum324,Thriller,1882,1947
11,9,BookNum325,Mystery,1946,437
26,11,BookNum326,Historical,1876,1206
17,19,BookNum327,Mystery,1910,618
47,5,BookNum328,Western,1950,794
49,13,BookNum329,Historical,1850,150
6,3,BookNum330,Comic,1986,787
1,18,BookNum331,Mystery,1967,1127
18,2,BookNum332,Historical,1998,1457
4,18,BookNum333,Western,1927,1171
19,2,BookNum334,Comic,1939,1039
35,6,BookNum335,Horror,1965,1593
42,1,BookNum336,Children,1938,797
26,11,BookNum337,Western,1869,640
25,7,BookNum338,Horror,1887,425
16,17,BookNum339,Children,1963,982
23,12,BookNum340,Western,1809,1787
35,11,BookNum341,Mystery,1866,933
16,13,BookNum342,Thriller,1951,247
48,6,BookNum343,Mystery,1976,445
6,17,BookNum344,Historical,1836,1385
7,5,BookNum345,Historical,1990,919
8,6,BookNum346,Comic,1892,1662
47,8,BookNum347,Children,1906,1734
17,8,BookNum348,Historical,1959,660
38,1,BookNum349,Thriller,1974,1897
6,3,BookNum350,Thriller,1971,520
21,15,BookNum351,Historical,1989,1375
13,8,BookNum352,Fiction,1928,528
44,10,BookNum353,Horror,1863,1716
6,1,BookNum354,Thriller,1844,1824
22,12,BookNum355,Horror,1911,1910
44,6,BookNum356,Fiction,1955,1943
6,6,BookNum357,Horror,1825,1981
37,19,BookNum358,Historical,1994,837
21,9,BookNum359,Western,1852,484
21,18,BookNum360,Comic,1859,286
33,6,BookNum361,Comic,1822,1650
48,3,BookNum362,Historical,1927,1684
19,9,BookNum363,Children,1983,1152
19,16,BookNum364,Comic,1967,1280
12,19,BookNum365,Horror,1967,1492
3,8,BookNum366,Thriller,1999,321
35,6,BookNum367,Mystery,1844,1990
30,3,BookNum368,Mystery,1882,1686
29,20,BookNum369,Comic,1865,1390
11,10,BookNum370,Horror,1800,624
1,15,BookNum371,Children,1853,1548
30,17,BookNum372,Fiction,1874,1380
45,9,BookNum373,Horror,1800,596
6,14,BookNum374,Thriller,1927,227
40,13,BookNum375,Fiction,1958,312
5,12,BookNum376,Horror,1850,386
7,6,BookNum377,Children,1998,1029
40,10,BookNum378,Western,2009,262
7,5,BookNum379,Fiction,1859,1436
2,3,BookNum380,Horror,1903,1669
13,19,BookNum381,Historical,1818,563
11,8,BookNum382,Fiction,1902,1794
9,11,BookNum383,Historical,1900,1602
47,19,BookNum384,Thriller,1861,567
6,6,BookNum385,Historical,1842,1044
17,20,BookNum386,Horror,1938,950
6,5,BookNum387,Historical,2018,621
22,1,BookNum388,Mystery,1943,517
38,7,BookNum389,Mystery,1852,1438
49,10,BookNum390,Mystery,1996,719
27,6,BookNum391,Western,2020,1935
2,4,BookNum392,Horror,1865,32
34,16,BookNum393,Fiction,1897,1171
11,11,BookNum394,Thriller,1898,1788
11,17,BookNum395,Horror,1976,952
31,1,BookNum396,Horror,1996,518
12,18,BookNum397,Western,1871,1001
14,16,BookNum398,Horror,1924,1614
2,20,BookNum399,Comic,1848,1442
10,11,BookNum400,Historical,1902,66
40,13,BookNum401,Children,1833,1560
30,6,BookNum402,Thriller,1866,48
8,16,BookNum403,Mystery,1971,1520
36,18,BookNum404,Children,1866,44
49,11,BookNum405,Horror,1982,877
33,8,BookNum406,Fiction,1872,490
37,11,BookNum407,Western,1895,114
19,13,BookNum408,Comic,1814,1509
34,18,BookNum409,Historical,1862,1474
34,7,BookNum410,Historical,1820,1912
28,3,BookNum411,Thriller,2008,321
34,9,BookNum412,Fiction,1840,1856
27,5,BookNum413,Comic,1917,204
50,14,BookNum414,Thriller,2017,1039
17,12,BookNum415,Comic,2018,1769
39,10,BookNum416,Historical,1873,1863
28,19,BookNum417,Western,1820,1226
36,20,BookNum418,Western,1990,1909
6,17,BookNum419,Mystery,1888,1725
24,12,BookNum420,Comic,1836,430
50,10,BookNum421,Historical,1864,983
47,8,BookNum422,Comic,1976,1043
47,2,BookNum423,Historical,1970,1510
1,5,BookNum424,Comic,1858,1923
46,4,BookNum425,Mystery,1953,1821
12,12,BookNum426,Comic,1847,584
11,10,BookNum427,Comic,1976,1845
40,8,BookNum428,Western,1819,1998
46,15,BookNum429,Mystery,1942,1403
15,14,BookNum430,Mystery,2012,132
16,15,BookNum431,Historical,1985,1275
46,14,BookNum432,Horror,1925,79
47,1,BookNum433,Fiction,1921,828
45,8,BookNum434,Comic,1936,224
16,6,BookNum435,Western,1967,119
38,3,BookNum436,Western,1852,853
30,16,BookNum437,Mystery,1884,217
17,20,BookNum438,Thriller,1955,1396
36,18,BookNum439,Mystery,1930,1491
34,1,BookNum440,Thriller,1879,1819
45,12,BookNum441,Historical,1812,1441
45,7,BookNum442,Mystery,1840,429
24,19,BookNum443,Comic,1891,177
