OrderID,BookID,Price
1,16283,235
2,4816,133
3,13852,879
4,11761,1168
5,11061,1928
6,10575,745
7,16830,899
8,1001,984
9,8167,415
10,12127,1082
11,19764,1962
12,19366,71
13,19854,454
14,16083,1485
15,11300,146
16,12486,1327
17,15605,211
18,5657,353
19,19318,563
20,3246,274
21,7666,934
22,9784,1156
23,12464,706
24,896,305
25,17604,1224
26,7932,593
27,1584,982
28,19638,703
29,11520,1772
30,5371,919
31,3767,928
32,441,1441
33,8150,679
34,2221,1742
35,14768,378
36,7725,962
37,1075,372
38,3485,753
39,2192,1313
40,10214,344
41,15676,471
42,18284,1108
43,7014,620
44,4079,1530
45,12260,549
46,3926,801
47,18220,1069
48,4721,831
49,8286,1752
50,8272,314
51,6110,1317
52,13777,1507
53,12788,605
54,8615,1581
55,1559,263
56,858,1109
57,13189,247
58,1343,233
59,2031,1547
60,1534,1457
61,9189,363
62,8604,1579
63,10611,1799
64,16998,1698
65,7710,113
66,17372,848
67,19869,1404
68,18105,1396
69,16720,1753
70,8098,1634
71,10553,1324
72,5441,219
73,2883,154
74,790,1131
75,435,119
76,18413,491
77,3071,913
78,13259,1982
79,4856,1658
80,17975,1472
81,1287,606
82,3078,1216
83,16451,389
84,7206,806
85,8122,285
86,10887,1511
87,6419,725
88,19905,730
89,3462,1215
90,13209,1022
91,17830,208
92,9033,1207
93,1817,1637
94,18572,1097
95,4369,770
96,7208,436
97,7080,130
98,5913,1226
99,4599,1917
100,6622,333
101,318,695
102,9158,1537
103,8784,913
104,5568,1163
105,1123,1557
106,498,532
107,9931,692
108,16887,523
109,6855,1956
110,9257,681
111,11742,282
112,11195,507
113,13724,709
114,9645,137
115,14011,805
116,9911,491
117,823,1438
118,18602,886
119,8907,28
120,15839,1648
121,16759,1551
122,7828,457
123,9433,952
124,16439,1462
125,2117,1977
126,3051,445
127,16689,721
128,11070,576
129,4811,326
130,7144,780
131,10860,1720
132,16650,482
133,58,1018
134,1631,894
135,3290,1413
136,250,637
137,7395,1871
138,18768,1600
139,13235,1203
140,4015,1054
141,8803,49
142,17630,1273
143,9333,1071
144,19496,840
145,15040,526
146,15615,1887
147,11309,1002
148,14298,116
149,7218,763
