CustomerID,OrderDate,total
10390,2020-08-21,5005
3825,2020-01-18,3011
12271,2021-08-10,1503
2837,2021-03-22,2866
3659,2020-01-27,5658
5149,2021-03-22,6826
11280,2020-01-27,4255
12515,2022-01-24,4617
6241,2021-07-10,1462
8021,2020-08-07,1569
8433,2020-11-27,2703
7558,2022-01-23,1961
1312,2021-02-19,5883
16057,2020-06-17,6581
17166,2021-01-12,3616
3876,2020-09-05,1327
8807,2021-11-16,3633
16897,2022-12-26,2963
18953,2020-02-08,1280
18061,2022-11-14,4877
9217,2020-04-12,4647
4344,2022-11-20,1637
17576,2022-06-01,2408
14146,2022-07-23,4376
15684,2021-08-19,1557
15654,2020-12-08,3770
12604,2020-08-08,2380
8002,2022-04-07,3751
14054,2022-05-25,4509
2284,2020-09-26,4509
126,2021-06-13,4266
2013,2022-01-06,2991
11437,2021-07-10,2599
12831,2022-05-06,5327
17934,2021-02-14,2166
11166,2022-10-08,5613
19457,2022-05-19,3791
701,2022-12-14,6960
8713,2021-12-19,5059
19000,2020-07-21,4435
4886,2020-01-15,4375
5621,2022-04-30,1787
19602,2022-07-07,2201
6939,2022-04-02,1530
5110,2022-08-04,1494
18736,2021-08-10,4271
16510,2022-08-06,3848
8538,2020-08-28,3195
12469,2020-01-07,2230
4275,2021-05-02,1384
3977,2022-02-17,3295
12444,2021-06-01,1507
274,2020-11-11,4509
6510,2021-12-02,6195
3828,2020-08-07,263
10456,2020-11-16,4925
1033,2022-07-30,1682
13699,2022-05-12,8771
7120,2020-08-19,3728
15893,2020-10-31,2847
15417,2021-04-22,3030
15124,2022-03-01,2837
15306,2020-06-06,2692
12334,2021-04-19,4756
11938,2022-05-10,4818
14234,2020-07-21,2604
10511,2021-03-17,3311
8301,2021-07-13,2937
17192,2020-03-15,6892
7009,2022-06-12,4985
7544,2020-11-05,4804
13742,2021-08-19,4333
1666,2021-02-02,4888
13903,2022-06-18,4704
15480,2021-06-02,1953
14507,2020-09-17,3374
12946,2020-01-05,1749
1921,2021-10-14,6159
2499,2022-05-29,3414
1463,2022-05-25,3147
19024,2020-03-07,1308
15624,2021-08-20,1408
9520,2022-10-01,1150
8522,2022-01-12,2184
18266,2022-02-10,9419
5438,2021-10-27,3860
17701,2021-06-02,2592
2273,2020-04-08,7444
7586,2020-07-09,3066
9803,2020-08-24,5829
2535,2020-11-14,4807
9929,2022-08-26,7223
8031,2020-10-08,4732
2074,2022-10-02,1097
8775,2022-11-27,770
16980,2022-09-27,5056
9626,2022-06-25,2100
8255,2022-06-23,4008
14432,2022-08-29,3943
15260,2020-06-24,4167
13833,2021-11-12,2666
1658,2021-02-23,8398
7661,2020-10-05,3729
2540,2020-07-28,3497
16650,2020-02-28,4069
1763,2020-12-12,1205
10242,2022-10-09,2941
9486,2022-06-07,2516
15113,2021-01-15,1956
17942,2021-11-13,4296
18205,2022-11-03,3552
15350,2022-11-23,5746
14695,2021-05-20,4496
3608,2022-01-19,1937
13427,2021-12-13,4208
8362,2021-01-29,2976
2305,2020-07-24,5809
11273,2020-07-07,6055
7081,2020-11-03,3929
1533,2021-01-02,4033
2868,2021-02-10,1551
18790,2022-03-31,2497
492,2020-02-13,2524
6443,2022-07-27,2387
15902,2021-03-31,4019
3628,2021-09-29,914
8197,2022-07-18,2857
14899,2021-02-05,3579
3796,2022-03-04,1989
8135,2021-01-11,2817
6095,2021-02-19,5894
3675,2020-04-05,2689
9676,2022-04-22,4314
2110,2020-10-08,1054
8205,2022-12-30,3768
16113,2021-08-25,8226
11439,2021-03-27,4518
18281,2020-05-16,4359
14926,2020-04-06,6052
15283,2022-09-01,10187
19675,2021-06-11,7807
15778,2021-01-01,3619
6485,2020-11-09,7674
13266,2021-04-09,2667
9400,2021-02-13,5538
13895,2021-11-01,3763
13053,2021-07-13,3368
18635,2022-06-23,1821
12149,2020-01-04,3074
13898,2020-12-26,2839
10895,2021-09-27,2388
982,2021-09-24,2726
15816,2022-03-22,4731
18879,2021-01-15,4677
12835,2021-05-12,2921
5932,2022-11-17,2271
7049,2021-04-10,1314
16338,2021-01-24,1031
7529,2021-10-03,4739
19970,2021-08-08,1263
3259,2021-10-07,3464
9180,2022-08-06,8130
3591,2022-07-08,2704
16387,2021-07-06,6128
13832,2021-02-19,5467
999,2022-12-14,4511
14576,2022-11-16,3445
2031,2021-08-11,5848
2863,2020-05-27,4269
4454,2021-12-30,2490
8871,2021-09-14,5488
11290,2020-07-13,9353
16234,2022-08-20,2605
16248,2022-08-26,3966
11435,2021-08-27,3763
15518,2022-09-23,1231
15618,2021-12-12,3645
15923,2021-07-05,6019
19789,2021-01-13,4360
9343,2021-09-26,3691
19656,2020-09-18,7083
14900,2020-06-22,4005
6365,2022-08-16,952
4544,2020-10-29,279
488,2021-07-27,8183
9454,2020-10-07,5906
9581,2021-10-04,3892
11399,2020-02-26,3078
2015,2022-06-25,4602
4865,2021-02-12,3906
6432,2021-02-03,1846
17979,2022-07-10,1569
6808,2021-04-18,5723
12176,2022-10-16,1261
17372,2020-10-08,4567
4964,2020-04-25,5099
19431,2021-05-02,3237
1932,2022-11-15,5789
5904,2021-08-23,6156
3380,2021-01-16,2344
155,2022-07-26,3601
13971,2021-06-15,1991
1606,2021-05-10,2342
9156,2021-04-23,3904
9070,2022-11-13,5180
1345,2020-10-23,4824
3524,2020-09-04,2116
1029,2022-06-07,7066
164,2020-03-16,994
3509,2021-06-27,4740
7641,2021-05-12,2382
18449,2021-02-17,658
12002,2020-10-09,3566
4844,2022-06-02,6160
13353,2020-10-20,152
13082,2020-04-05,4537
9875,2022-10-09,1612
3437,2022-09-25,2435
5999,2020-10-17,1682
15212,2020-08-09,3821
19088,2020-01-07,6355
14946,2022-08-06,2867
5534,2021-06-02,8106
3485,2022-03-27,3276
12056,2021-12-28,1311
19138,2022-07-02,2573
16232,2021-11-05,2150
13017,2022-12-30,851
5557,2020-03-30,3813
12548,2021-09-25,4063
512,2020-10-06,4954
10742,2021-06-21,3913
19932,2021-06-18,3766
11411,2020-12-11,7575
7625,2020-12-30,4785
9779,2022-10-12,3694
10673,2021-07-24,7204
5772,2022-12-25,4470
13290,2022-01-30,6298
2474,2020-08-29,5293
5306,2020-11-10,917
18546,2022-08-02,4842
15271,2022-05-02,5417
17799,2022-06-21,7375
14461,2020-06-03,4835
15928,2020-12-03,3916
9669,2022-07-06,4747
16528,2020-06-09,4669
17756,2022-10-18,8048
102,2020-06-05,5076
13557,2021-02-27,7484
10764,2022-07-10,5782
11989,2020-11-04,6707
9519,2022-09-16,3528
7911,2022-12-14,3696
3684,2022-05-16,1846
261,2020-03-05,1146
8049,2021-09-14,3356
299,2020-12-06,6112
4804,2021-03-15,4019
7425,2022-07-22,3739
4223,2021-06-08,779
4250,2022-07-14,3431
10775,2020-12-31,2505
12745,2022-05-18,1904
2688,2020-02-07,4424
9770,2020-02-05,3122
16070,2020-01-28,1686
13691,2022-06-15,5662
10660,2022-07-05,4607
14448,2022-09-07,2089
14627,2022-12-08,761
6796,2020-08-10,1733
12370,2020-05-19,2196
2504,2020-03-22,3927
10592,2022-12-18,4609
802,2022-03-04,3061
960,2022-01-03,1519
870,2022-06-11,2634
16691,2021-11-27,213
15058,2022-06-06,3720
11780,2021-12-02,758
7961,2022-06-28,4496
6440,2022-12-30,6434
13674,2020-12-01,4004
17123,2020-04-26,904
11814,2021-11-04,5259
11451,2021-04-08,2176
3801,2020-07-09,3962
10873,2021-04-20,4201
11919,2020-02-22,3900
9510,2020-12-21,2074
8672,2022-02-27,6073
7706,2022-03-01,772
19259,2022-04-12,3419
12082,2020-01-12,4265
1754,2022-08-12,10864
8463,2022-08-25,1932
6378,2022-05-19,7057
15055,2022-10-13,8835
4896,2022-11-16,4279
1690,2021-10-09,2635
17768,2022-12-12,5593
1955,2020-03-28,6251
15911,2022-03-01,1950
15931,2021-11-06,2922
19455,2022-06-01,7001
10873,2020-05-28,6551
315,2020-06-18,5244
4338,2021-01-25,6369
1009,2022-10-14,2695
11175,2020-03-18,5688
11040,2021-09-14,7377
891,2020-12-12,5789
1538,2020-01-03,3008
19891,2021-03-11,5588
3320,2021-04-02,2037
809,2021-03-04,2230
1972,2022-08-03,3708
4010,2021-08-20,2855
16072,2022-01-28,3575
784,2022-11-12,3898
5662,2022-10-11,195
5559,2021-07-28,2916
1577,2022-11-06,2225
5984,2021-02-16,1062
12318,2022-05-23,7010
1532,2021-03-12,4612
10662,2021-03-07,148
810,2020-12-12,4101
5386,2020-06-02,7344
17209,2022-11-06,4618
3548,2020-04-30,3977
18451,2021-05-01,4867
5414,2022-07-06,2688
15906,2022-03-20,4095
15177,2022-03-30,7196
13938,2020-05-20,2357
2365,2020-05-22,2217
11329,2022-11-25,3175
19425,2021-09-13,4294
3918,2020-08-29,4271
16126,2021-08-06,4348
18611,2020-04-17,3060
16863,2020-02-13,5177
18654,2021-07-17,5365
16512,2022-03-02,4028
2110,2021-04-25,4789
14708,2022-09-24,2736
10824,2020-11-08,2378
14391,2020-07-17,2233
7584,2020-11-17,5774
14184,2021-06-21,3825
18453,2020-11-08,2490
6267,2020-05-18,1476
3115,2020-03-16,4007
19552,2020-02-13,4465
4958,2022-07-12,1940
8111,2021-03-07,2212
5367,2020-07-29,3245
16040,2021-06-19,7110
18727,2021-01-21,4092
17848,2021-12-24,8260
13142,2020-11-06,3905
1516,2021-08-30,2151
18857,2020-03-26,2501
18653,2020-07-08,5133
17697,2022-05-03,5344
16404,2021-08-29,2736
12741,2022-06-02,1103
16199,2021-05-19,3465
6935,2021-04-03,2285
6190,2022-12-29,3700
8370,2022-08-11,4787
9302,2020-07-25,5302
18442,2021-12-29,4301
2212,2022-10-20,5377
3,2022-06-17,569
10645,2022-08-01,735
6488,2021-09-13,8184
19394,2020-06-17,1374
11055,2022-09-28,4059
16443,2020-06-07,3790
14389,2022-10-13,3743
5231,2022-02-28,4131
15137,2022-02-09,6378
4021,2020-02-10,9304
561,2022-07-04,5921
16971,2021-02-15,5153
19920,2020-06-07,5429
4952,2022-08-06,4730
6485,2021-05-23,5407
12992,2022-06-29,6327
3428,2020-10-20,2873
11980,2020-04-11,3061
16316,2021-06-02,4196
8644,2020-02-14,4659
3733,2020-02-26,4527
13671,2022-02-03,3673
16964,2021-09-07,3483
2628,2022-11-29,2271
10302,2022-04-13,4910
1400,2022-01-12,3637
4990,2020-09-26,4206
19134,2020-09-16,2944
11778,2020-05-04,4191
16132,2021-04-04,5043
18042,2021-08-25,3654
13784,2021-12-01,3366
1565,2022-07-12,3429
4185,2021-11-02,5591
9736,2021-02-10,4528
11113,2020-06-21,5398
16833,2021-11-11,3623
14975,2020-07-24,6942
4449,2021-10-29,5164
11674,2022-10-02,5283
17865,2022-02-12,3946
17153,2021-02-04,2208
15385,2022-11-15,5517
8596,2020-05-23,447
6817,2021-10-11,3700
19052,2022-12-29,5025
6875,2022-03-22,1471
4492,2020-08-01,5359
6512,2022-03-17,1414
14871,2021-11-02,4810
6265,2021-03-21,4187
11284,2021-06-10,2308
4625,2020-05-07,2955
18797,2020-01-24,6868
681,2020-11-03,7264
19663,2022-03-06,10076
17142,2021-10-03,5801
13035,2020-11-30,3829
13578,2020-10-02,543
102,2020-07-29,4344
11587,2022-12-05,2170
17493,2022-09-08,3303
4269,2020-06-18,6120
19113,2021-09-20,6430
12305,2022-04-27,5956
19545,2020-07-03,5851
7395,2020-12-26,1750
16698,2020-10-12,2870
3403,2021-03-23,5796
19626,2022-05-20,3804
1704,2021-12-17,1668
19189,2020-09-18,949
15985,2020-11-28,7818
11808,2020-01-26,8215
8385,2021-09-29,3982
11288,2020-11-06,4812
16681,2021-01-03,1712
13351,2020-10-19,1718
9405,2022-01-28,2121
16151,2022-02-08,297
854,2021-09-01,3922
1446,2021-12-10,4425
17152,2021-12-17,5167
15873,2020-08-27,2739
13655,2022-10-06,4322
6420,2020-11-18,1253
16236,2022-09-06,1195
656,2021-01-07,3083
4916,2020-12-15,3729
3818,2021-08-01,3722
11468,2021-07-13,5175
13307,2020-10-08,4277
5679,2020-07-27,3643
5111,2020-11-08,1328
11614,2020-02-21,5178
12703,2022-05-03,8779
5758,2022-12-22,2712
10095,2021-11-22,3335
11017,2022-05-24,2743
3525,2022-10-30,8145
3858,2021-03-25,2374
19954,2022-07-22,7076
1979,2022-08-25,1500
8338,2020-06-08,3352
13830,2021-03-16,3933
17967,2022-10-24,3475
9044,2020-07-27,3648
18512,2020-07-01,2414
2024,2022-05-28,4849
14033,2021-12-24,4039
4241,2022-05-15,93
794,2022-11-08,2442
7236,2020-08-14,2018
1306,2022-11-21,3991
8310,2020-01-28,3410
11744,2020-04-20,2319
18284,2022-11-06,1709
16848,2022-06-23,1714
11366,2022-04-18,8779
8255,2021-12-04,1837
833,2021-06-18,6493
1627,2021-09-28,1443
2766,2020-11-19,3070
6086,2022-02-13,5418
16678,2022-09-29,6195
7948,2020-08-12,3668
6543,2020-12-23,7310
19888,2022-01-29,6410
3243,2020-07-21,3175
7775,2020-02-07,3937
19155,2022-08-06,5612
5284,2022-12-16,4655
15864,2020-10-14,2448
2811,2020-10-03,5633
15526,2020-10-01,1546
19634,2021-10-26,2318
4315,2021-12-26,6146
5406,2020-03-04,4402
16959,2021-07-11,9597
16165,2020-07-21,5494
19581,2021-08-18,4426
17727,2021-06-16,2164
5601,2022-10-05,4548
18472,2020-02-04,1153
19933,2020-12-21,4938
7011,2022-10-19,4607
15370,2021-08-06,4164
1805,2020-01-17,4162
16462,2022-11-29,4327
6333,2020-06-18,9635
13359,2020-08-31,4481
18957,2022-08-08,2431
14965,2021-05-05,2549
9063,2020-08-02,5012
4989,2021-11-30,1082
15690,2022-07-06,5705
18029,2020-07-15,1958
3014,2020-01-10,3966
10366,2022-04-17,4139
16056,2021-06-22,2962
6071,2022-02-07,452
7219,2022-08-29,5054
9568,2022-08-31,2368
3093,2020-10-02,4239
16200,2021-08-14,5089
18908,2022-04-25,6244
14112,2022-04-26,2166
9,2021-07-06,5274
2425,2022-05-03,3570
16395,2020-10-28,7450
18817,2022-09-02,5396
3674,2020-02-12,6173
18531,2021-08-22,3935
6917,2021-02-21,5192
18270,2022-05-21,6487
2786,2021-05-28,7446
7683,2021-05-04,6667
16935,2022-10-13,7514
4003,2021-12-03,2409
11886,2020-06-19,3731
13375,2020-05-29,1485
13798,2022-12-10,1374
11737,2020-02-06,5249
16493,2022-06-22,322
2037,2021-04-07,2296
3773,2020-04-13,2820
8342,2020-09-06,2755
17738,2020-07-24,3280
13708,2022-08-21,3655
2153,2021-10-28,6797
11133,2021-09-28,3207
8691,2021-08-09,4867
8331,2022-07-22,5772
19709,2020-08-31,7703
13969,2021-11-18,5529
2308,2020-10-13,12473
3874,2021-02-10,1035
17594,2022-11-09,10816
13449,2021-11-05,2308
18992,2022-04-19,4207
18561,2021-08-21,5415
9757,2022-12-07,2684
14074,2022-10-12,3224
16021,2020-02-19,1502
17768,2021-06-02,6870
4368,2020-03-20,1172
9332,2021-09-11,5302
14715,2020-03-29,663
301,2021-06-18,1684
5778,2022-07-06,2573
15776,2022-07-01,4754
1986,2021-11-20,8018
19004,2021-04-08,2598
3965,2022-08-02,7542
9981,2021-10-08,3160
13687,2020-04-07,4276
3063,2022-11-23,3302
11482,2021-12-08,6471
8229,2021-10-29,3889
595,2020-05-23,4988
11177,2022-04-28,2196
19843,2022-12-28,2780
3880,2022-05-07,3188
8818,2021-09-05,3342
11458,2022-12-30,3622
13226,2022-03-15,3196
6701,2022-08-19,4950
6533,2022-02-27,1773
902,2021-03-30,3011
488,2021-08-11,6375
19140,2021-12-05,4813
17179,2021-01-01,2404
10066,2020-07-23,4568
12159,2021-02-18,3774
19129,2021-07-20,5562
16885,2020-08-30,4644
19532,2021-07-03,3591
14778,2020-03-31,4933
4990,2022-01-07,2155
11577,2022-02-12,5823
2089,2021-10-23,4246
2527,2022-12-16,7268
5616,2020-02-19,2892
17526,2021-08-04,2463
11759,2022-04-07,1102
17527,2021-11-08,7144
14422,2021-08-01,5656
11584,2021-02-16,4086
13916,2022-09-30,1815
11595,2022-12-13,5332
8743,2022-04-28,2202
16754,2021-07-04,2545
15581,2022-02-25,3402
7030,2020-11-29,1836
18461,2021-01-05,2820
13672,2022-12-27,4578
1880,2020-09-24,6127
9918,2020-11-29,2211
8286,2021-05-24,3415
7816,2021-08-01,2804
19566,2021-08-28,2594
17344,2020-09-11,3450
8771,2021-10-25,3954
10192,2022-10-07,4261
15184,2020-10-20,6908
15526,2022-03-20,1162
681,2021-03-19,3388
8534,2020-02-13,2548
17375,2022-12-24,1461
14097,2020-06-08,5185
6383,2022-02-24,4506
19705,2022-04-16,6013
16886,2020-12-13,5397
12393,2021-06-15,4702
16834,2021-06-18,3086
1010,2021-07-22,1502
11408,2022-09-15,2413
